epoka,strata_uczenia,val_mIoU,val_F1
1,1.600410514166861,0.3840144052401345,0.49009481948432615
2,1.0259088057460206,0.48965415285110986,0.6143308420945262
3,0.8212233453085929,0.5422608594784941,0.6714970824098909
